iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ALB,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-3772596.455307999,,annual,,
ALB,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,10894116.072816098,,annual,,
ALB,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-4915324.2247958,,annual,,
ALB,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-382126.9988259002,,annual,,
ALB,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,-2805877.8058216,,annual,,
ALB,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,3615756.7399713993,,annual,,
ALB,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,-4476503.436132001,,annual,,
ALB,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,-4991140.087832999,,annual,,
ALB,forestry-and-land-use,removals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,-4991140.087832999,,annual,,
ALB,forestry-and-land-use,removals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,-415928.34065275,,annual,,
AND,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,67230.77823999999,,annual,,
AND,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,24736.14893000001,,annual,,
AND,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,80094.03743799998,,annual,,
AND,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-258958.7215300001,,annual,,
AND,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,116977.16771999998,,annual,,
AND,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,45790.02361999999,,annual,,
AND,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,63528.25905,,annual,,
AND,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,-39313.5339,,annual,,
AND,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,-4487.5198500000015,,annual,,
